companies,year,open_price,high_price,low_price,close_price,no_of_shares,no_of_trades,total_turnover_(Rs),deliverable_quantity,%_deli_qty_to_traded_qty,spread_(high-low),spread_(close-open)
Infosys,2016,1100.0,1278.0,900.3,1010.7,62574167,1849498,68702102951,34466921,55.08,377.7,-89.3
Infosys,2017,1012.0,1046.1,861.5,1039.3,88291763,1958919,83850666155,40978789,46.41,184.6,27.3
Infosys,2018,1040.0,1467.0,600.65,659.85,98342426,1743429,95573563392,46321883,47.1,866.35,-380.15
Infosys,2019,661.0,847.4,615.0,731.75,128186279,2250148,92428935722,67440031,52.61,232.4,70.75
Infosys,2020,733.6,1265.0,511.1,1255.85,125521837,2957888,110058310162,60479242,48.18,753.9,522.25
Infosys,2021,1258.95,1913.0,1230.0,1889.65,108556069,3089374,162078893681,68018839,62.66,683.0,630.7
Infosys,2022,1890.0,1953.7,1355.5,1508.7,106174808,4354129,166450601296,72703964,68.48,598.2,-381.3
Infosys,2023,1513.0,1620.0,1215.45,1542.85,84526474,4164667,118376438239,50961149,60.29,404.55,29.85
Infosys,2024,1542.0,2006.8,1359.1,1880.7,78199579,3283191,128790130001,43308066,55.38,647.7,338.7
Infosys,2025,1879.95,1982.55,1307.1,1639.6,85635239,3327264,134643600629,42822186,50.01,675.45,-240.35
