companies,year,open_price,high_price,low_price,close_price,no_of_shares,no_of_trades,total_turnover_(Rs),deliverable_quantity,%_deli_qty_to_traded_qty,spread_(high-low),spread_(close-open)
Tata Consultancy Services (TCS),2016,2432.1,2740.0,2054.7,2361.95,22454635,1091505,53619879421,12977264,57.79,685.3,-70.15
Tata Consultancy Services (TCS),2017,2365.0,2774.0,2154.3,2700.4,20975708,846470,51317289605,11384382,54.27,619.7,335.4
Tata Consultancy Services (TCS),2018,2689.8,3674.0,1712.9,1893.55,46379322,1534434,108790939734,22052569,47.55,1961.1,-796.25
Tata Consultancy Services (TCS),2019,1905.0,2296.0,1809.55,2161.3,35185584,1483977,73289180385,15227554,43.28,486.45,256.3
Tata Consultancy Services (TCS),2020,2170.0,2951.9,1504.4,2870.2,42012932,2296776,94141426396,17944800,42.71,1447.5,700.2
Tata Consultancy Services (TCS),2021,2879.0,3990.0,2701.0,3736.85,38572789,2417566,128682056993,22344723,57.93,1289.0,857.85
Tata Consultancy Services (TCS),2022,3744.0,4045.5,2926.0,3259.25,40402973,3644538,136383764860,27564970,68.23,1119.5,-484.75
Tata Consultancy Services (TCS),2023,3265.0,3928.95,3070.3,3794.95,22386502,2001953,76328615161,11987196,53.55,858.65,529.95
Tata Consultancy Services (TCS),2024,3792.0,4585.9,3593.3,4097.2,54751391,2363523,221218493775,36888809,67.38,992.6,305.2
Tata Consultancy Services (TCS),2025,4100.0,4321.65,2867.55,3282.6,38631507,2885106,127007197778,17097380,44.26,1454.1,-817.4
