companies,year,open_price,high_price,low_price,close_price,no_of_shares,no_of_trades,total_turnover_(Rs),deliverable_quantity,%_deli_qty_to_traded_qty,spread_(high-low),spread_(close-open)
Wipro,2016,558.0,606.75,410.0,474.0,45815204,617598,24222255400,29459701,64.3,196.75,-84.0
Wipro,2017,475.0,567.85,252.1,313.4,68171270,547857,27427617161,42516197,62.37,315.75,-161.6
Wipro,2018,313.4,344.0,253.5,330.25,83055587,589223,24858758369,44981884,54.16,90.5,16.85
Wipro,2019,334.5,396.0,232.35,245.95,163286984,910855,44021992320,101580164,62.21,163.65,-88.55
Wipro,2020,247.0,390.4,159.6,386.25,119760810,1605243,33871164466,40323790,33.67,230.8,139.25
Wipro,2021,385.85,739.8,384.95,715.2,146723781,2557217,78840995954,65449333,44.61,354.85,329.35
Wipro,2022,718.3,726.7,372.4,392.8,140393269,4404479,66547000919,82307260,58.63,354.3,-325.5
Wipro,2023,392.75,477.65,351.85,471.7,83608750,2262191,33800122849,42414342,50.73,125.8,78.95
Wipro,2024,472.25,596.0,289.5,302.0,124090118,2990276,61213282834,56591795,45.61,306.5,-170.25
Wipro,2025,300.95,324.55,225.05,264.35,112722341,2179307,29792400306,56014653,49.69,99.5,-36.6
